itemid,modifier,name,url
15333,111,Wrangler's Cloak of Agility,https://classic.wowhead.com/item=15333
15018,1552,Lupine Vest of Power,https://classic.wowhead.com/item=15018
6375,,Formula: Enchant Bracer - Lesser Spirit,https://classic.wowhead.com/item=6375
6553,760,Bard's Trousers of the Owl,https://classic.wowhead.com/item=6553
16072,,Expert Cookbook,https://classic.wowhead.com/item=16072
9748,1840,Simple Robe of Shadow Wrath,https://classic.wowhead.com/item=9748
6557,589,Bard's Boots of the Monkey,https://classic.wowhead.com/item=6557
15336,853,Wrangler's Leggings of the Eagle,https://classic.wowhead.com/item=15336
6570,763,Shimmering Sash of the Owl,https://classic.wowhead.com/item=6570
15357,600,Headhunter's Spaulders of the Monkey,https://classic.wowhead.com/item=15357
6545,1100,Soldier's Armor of the Boar,https://classic.wowhead.com/item=6545
15270,312,Gigantic War Axe of Strength,https://classic.wowhead.com/item=15270
14125,848,Ritual Leggings of the Eagle,https://classic.wowhead.com/item=14125
6268,756,Pioneer Tunic of the Owl,https://classic.wowhead.com/item=6268
15970,27,Native Branch of Spirit,https://classic.wowhead.com/item=15970
15500,1554,Outrunner's Chestguard of Power,https://classic.wowhead.com/item=15500
14272,780,Gaea's Handwraps of the Owl,https://classic.wowhead.com/item=14272
15559,1103,Pillager's Cloak of the Boar,https://classic.wowhead.com/item=15559
7285,,Nimble Leather Gloves,https://classic.wowhead.com/item=7285
15011,25,Lupine Cord of Intellect,https://classic.wowhead.com/item=15011
14129,843,Ritual Sandals of the Eagle,https://classic.wowhead.com/item=14129
4235,,Heavy Hide,https://classic.wowhead.com/item=4235
4324,,Azure Silk Vest,https://classic.wowhead.com/item=4324
4078,,Chief Brigadier Coif,https://classic.wowhead.com/item=4078
6545,1551,Soldier's Armor of Power,https://classic.wowhead.com/item=6545
15018,154,Lupine Vest of Stamina,https://classic.wowhead.com/item=15018
9823,599,Durable Gloves of the Monkey,https://classic.wowhead.com/item=9823
3011,,Feathered Headdress,https://classic.wowhead.com/item=3011
14090,27,Beaded Britches of Spirit,https://classic.wowhead.com/item=14090
9780,590,Bandit Gloves of the Monkey,https://classic.wowhead.com/item=9780
14094,1952,Beaded Wraps of Frozen Wrath,https://classic.wowhead.com/item=14094
6543,1876,Willow Bracers of Fiery Wrath,https://classic.wowhead.com/item=6543
7357,863,Elder's Hat of the Eagle,https://classic.wowhead.com/item=7357
6336,1096,Infantry Tunic of the Boar,https://classic.wowhead.com/item=6336
13105,,Sutarn's Ring,https://classic.wowhead.com/item=13105
9756,18,Gypsy Trousers of Agility,https://classic.wowhead.com/item=9756
15506,1184,Grunt's AnkleWraps of the Bear,https://classic.wowhead.com/item=15506
1794,,Patched Leather Jerkin,https://classic.wowhead.com/item=1794
9919,600,Tracker's Cloak of the Monkey,https://classic.wowhead.com/item=9919
15532,845,Sentry's Armsplints of the Eagle,https://classic.wowhead.com/item=15532
9791,1026,Ivycloth Tunic of the Whale,https://classic.wowhead.com/item=9791
7410,594,Infiltrator Bracers of the Monkey,https://classic.wowhead.com/item=7410
5115,,Broken Wishbone,https://classic.wowhead.com/item=5115
7557,1886,Gossamer Rod of Fiery Wrath,https://classic.wowhead.com/item=7557
7408,1024,Infiltrator Shoulders of the Whale,https://classic.wowhead.com/item=7408
10245,1209,Heavy Lamellar Pauldrons of the Bear,https://classic.wowhead.com/item=10245
9822,134,Durable Cape of Spirit,https://classic.wowhead.com/item=9822
4341,,Yellow Dye,https://classic.wowhead.com/item=4341
1990,606,Ballast Maul of the Monkey,https://classic.wowhead.com/item=1990
8194,154,Goblin Nutcracker of Stamina,https://classic.wowhead.com/item=8194
9868,686,Renegade Gauntlets of the Tiger,https://classic.wowhead.com/item=9868
9747,95,Simple Britches of Spirit,https://classic.wowhead.com/item=9747
10076,173,Lord's Armguards of Agility,https://classic.wowhead.com/item=10076
6558,26,Bard's Belt of Intellect,https://classic.wowhead.com/item=6558
6596,1196,Battleforge Legguards of the Bear,https://classic.wowhead.com/item=6596
2075,1989,Priest's Mace of Nature's Wrath,https://classic.wowhead.com/item=2075
1713,,Ankh of Life,https://classic.wowhead.com/item=1713
15014,256,Lupine Buckler of the Wolf,https://classic.wowhead.com/item=15014
15307,1097,Feral Buckler of the Boar,https://classic.wowhead.com/item=15307
10242,1210,Heavy Lamellar Gauntlets of the Bear,https://classic.wowhead.com/item=10242
7438,1026,Twilight Belt of the Whale,https://classic.wowhead.com/item=7438
9849,862,Conjurer's Hood of the Eagle,https://classic.wowhead.com/item=9849
6336,842,Infantry Tunic of the Eagle,https://classic.wowhead.com/item=6336
4661,,Bright Mantle,https://classic.wowhead.com/item=4661
2072,852,Dwarven Magestaff of the Eagle,https://classic.wowhead.com/item=2072
6551,587,Soldier's Boots of the Monkey,https://classic.wowhead.com/item=6551
15348,762,Pathfinder Bracers of the Owl,https://classic.wowhead.com/item=15348
14826,,Symbolic Gauntlets,https://classic.wowhead.com/item=14826
9779,25,Bandit Cloak of Intellect,https://classic.wowhead.com/item=9779
12029,152,Greenstone Talisman of Intellect,https://classic.wowhead.com/item=12029
15933,1799,Simple Branch of Arcane Wrath,https://classic.wowhead.com/item=15933
14211,2036,Vital Handwraps of Healing,https://classic.wowhead.com/item=14211
7535,610,Cabalist Belt of the Monkey,https://classic.wowhead.com/item=7535
1516,,Worn Hatchet,https://classic.wowhead.com/item=1516
9883,784,Sorcerer Pants of the Owl,https://classic.wowhead.com/item=9883
15485,1095,War Torn Pants of the Boar,https://classic.wowhead.com/item=15485
9831,592,Scaled Cloak of the Monkey,https://classic.wowhead.com/item=9831
9769,1879,Greenweave Branch of Fiery Wrath,https://classic.wowhead.com/item=9769
6598,678,Dervish Buckler of the Tiger,https://classic.wowhead.com/item=6598
11967,1449,Zircon Band of Shadow Resistance,https://classic.wowhead.com/item=11967
7419,1188,Phalanx Cloak of the Bear,https://classic.wowhead.com/item=7419
10450,,Undamaged Hippogryph Feather,https://classic.wowhead.com/item=10450
9765,585,Cadet Vest of the Monkey,https://classic.wowhead.com/item=9765
9896,1192,Jazeraint Bracers of the Bear,https://classic.wowhead.com/item=9896
11610,,Plans: Dark Iron Pulverizer,https://classic.wowhead.com/item=11610
15499,840,Outrunner's Cuffs of the Eagle,https://classic.wowhead.com/item=15499
15259,1109,Hefty Battlehammer of the Boar,https://classic.wowhead.com/item=15259
15248,847,Gleaming Claymore of the Eagle,https://classic.wowhead.com/item=15248
6583,93,Scouting Bracers of Agility,https://classic.wowhead.com/item=6583
9766,762,Greenweave Sash of the Owl,https://classic.wowhead.com/item=9766
2819,111,Cross Dagger of Agility,https://classic.wowhead.com/item=2819
12164,,Plans: Massive Iron Axe,https://classic.wowhead.com/item=12164
6543,1952,Willow Bracers of Frozen Wrath,https://classic.wowhead.com/item=6543
2645,,Loose Chain Gloves,https://classic.wowhead.com/item=2645
7446,766,Sentinel Cloak of the Owl,https://classic.wowhead.com/item=7446
2078,1548,Northern Shortsword of Power,https://classic.wowhead.com/item=2078
6429,,Mistscape Wizard Hat,https://classic.wowhead.com/item=6429
15570,1195,Marauder's Gauntlets of the Bear,https://classic.wowhead.com/item=15570
11288,,Greater Magic Wand,https://classic.wowhead.com/item=11288
4561,6,Scalping Tomahawk of Strength,https://classic.wowhead.com/item=4561
15309,1990,Feral Cloak of Nature's Wrath,https://classic.wowhead.com/item=15309
6563,22,Shimmering Bracers of Stamina,https://classic.wowhead.com/item=6563
15500,1189,Outrunner's Chestguard of the Bear,https://classic.wowhead.com/item=15500
6609,1848,Sage's Cloth of Shadow Wrath,https://classic.wowhead.com/item=6609
15117,596,Rigid Leggings of the Monkey,https://classic.wowhead.com/item=15117
9851,611,Conjurer's Breeches of the Monkey,https://classic.wowhead.com/item=9851
15259,1194,Hefty Battlehammer of the Bear,https://classic.wowhead.com/item=15259
12008,676,Savannah Ring of the Tiger,https://classic.wowhead.com/item=12008
7440,1035,Sentinel Trousers of the Whale,https://classic.wowhead.com/item=7440
15380,602,Rageclaw Bracers of the Monkey,https://classic.wowhead.com/item=15380
1645,,Moonberry Juice,https://classic.wowhead.com/item=1645
15268,1185,Twin-bladed Axe of the Bear,https://classic.wowhead.com/item=15268
7086,,Pattern: Earthen Silk Belt,https://classic.wowhead.com/item=7086
6590,184,Battleforge Boots of Stamina,https://classic.wowhead.com/item=6590
15493,1100,Bloodspattered Loincloth of the Boar,https://classic.wowhead.com/item=15493
6560,670,Soldier's Shield of the Tiger,https://classic.wowhead.com/item=6560
14182,1844,Watcher's Mantle of Shadow Wrath,https://classic.wowhead.com/item=14182
14090,839,Beaded Britches of the Eagle,https://classic.wowhead.com/item=14090
7444,773,Sentinel Boots of the Owl,https://classic.wowhead.com/item=7444
8115,,Hibernal Cowl,https://classic.wowhead.com/item=8115
4339,,Bolt of Mageweave,https://classic.wowhead.com/item=4339
1207,1553,Murphstar of Power,https://classic.wowhead.com/item=1207
9911,2046,Royal Trousers of Healing,https://classic.wowhead.com/item=9911
15479,1547,Charger's Armor of Power,https://classic.wowhead.com/item=15479
7413,1200,Infiltrator Cap of the Bear,https://classic.wowhead.com/item=7413
15250,211,Glimmering Flamberge of Agility,https://classic.wowhead.com/item=15250
15549,1193,Thick Scale Belt of the Bear,https://classic.wowhead.com/item=15549
15510,928,Grunt's Belt of the Gorilla,https://classic.wowhead.com/item=15510
4562,1182,Severing Axe of the Bear,https://classic.wowhead.com/item=4562
727,6,Notched Shortsword of Strength,https://classic.wowhead.com/item=727
9827,247,Scaled Leather Belt of the Falcon,https://classic.wowhead.com/item=9827
6568,1021,Shimmering Trousers of the Whale,https://classic.wowhead.com/item=6568
6578,1191,Defender Leggings of the Bear,https://classic.wowhead.com/item=6578
14243,1033,Darkmist Mantle of the Whale,https://classic.wowhead.com/item=14243
15222,2028,Barbed Club of Healing,https://classic.wowhead.com/item=15222
2681,,Roasted Boar Meat,https://classic.wowhead.com/item=2681
15489,1182,Bloodspattered Sabatons of the Bear,https://classic.wowhead.com/item=15489
8180,,Hunting Bow,https://classic.wowhead.com/item=8180
4738,,Imperial Leather Belt,https://classic.wowhead.com/item=4738
11967,1404,Zircon Band of Fire Resistance,https://classic.wowhead.com/item=11967
13074,,Golem Shard Leggings,https://classic.wowhead.com/item=13074
7447,766,Sentinel Bracers of the Owl,https://classic.wowhead.com/item=7447
9770,28,Greenweave Cloak of Spirit,https://classic.wowhead.com/item=9770
14090,2027,Beaded Britches of Healing,https://classic.wowhead.com/item=14090
15304,1551,Grizzly Jerkin of Power,https://classic.wowhead.com/item=15304
15495,839,Bloodspattered Wristbands of the Eagle,https://classic.wowhead.com/item=15495
6563,1839,Shimmering Bracers of Shadow Wrath,https://classic.wowhead.com/item=6563
15501,840,Outrunner's Cloak of the Eagle,https://classic.wowhead.com/item=15501
5123,,Steel Arrowhead,https://classic.wowhead.com/item=5123
15308,844,Feral Cord of the Eagle,https://classic.wowhead.com/item=15308
6612,250,Sage's Boots of the Falcon,https://classic.wowhead.com/item=6612
15151,212,Ghostwalker Legguards of Agility,https://classic.wowhead.com/item=15151
7918,,Heavy Mithril Shoulder,https://classic.wowhead.com/item=7918
7437,1806,Twilight Cuffs of Arcane Wrath,https://classic.wowhead.com/item=7437
6611,2034,Sage's Sash of Healing,https://classic.wowhead.com/item=6611
6581,232,Scouting Belt of the Falcon,https://classic.wowhead.com/item=6581
9775,1013,Bandit Cinch of the Whale,https://classic.wowhead.com/item=9775
7457,1027,Knight's Gauntlets of the Whale,https://classic.wowhead.com/item=7457
10287,765,Greenweave Mantle of the Owl,https://classic.wowhead.com/item=10287
7554,1954,Willow Branch of Frozen Wrath,https://classic.wowhead.com/item=7554
9839,1194,Banded Gauntlets of the Bear,https://classic.wowhead.com/item=9839
13129,,Firemane Leggings,https://classic.wowhead.com/item=13129
15350,772,Headhunter's Slippers of the Owl,https://classic.wowhead.com/item=15350
15973,1956,Watcher's Star of Frozen Wrath,https://classic.wowhead.com/item=15973
7070,,Elemental Water,https://classic.wowhead.com/item=7070
2080,592,Hillborne Axe of the Monkey,https://classic.wowhead.com/item=2080
5009,,Mindbender Loop,https://classic.wowhead.com/item=5009
15018,1995,Lupine Vest of Nature's Wrath,https://classic.wowhead.com/item=15018
3429,,Guardsman Belt,https://classic.wowhead.com/item=3429
14123,1839,Ritual Cape of Shadow Wrath,https://classic.wowhead.com/item=14123
9776,96,Bandit Boots of Stamina,https://classic.wowhead.com/item=9776
15010,1990,Primal Wraps of Nature's Wrath,https://classic.wowhead.com/item=15010
7436,184,Twilight Cape of Stamina,https://classic.wowhead.com/item=7436
14776,,Ravager's Mantle,https://classic.wowhead.com/item=14776
15499,1548,Outrunner's Cuffs of Power,https://classic.wowhead.com/item=15499
9804,1185,Superior Buckler of the Bear,https://classic.wowhead.com/item=9804
15500,154,Outrunner's Chestguard of Stamina,https://classic.wowhead.com/item=15500
14227,,Ironweb Spider Silk,https://classic.wowhead.com/item=14227
7417,186,Phalanx Boots of Stamina,https://classic.wowhead.com/item=7417
15491,1009,Bloodspattered Gloves of the Whale,https://classic.wowhead.com/item=15491
1504,,Warped Leather Bracers,https://classic.wowhead.com/item=1504
14160,95,Pagan Bands of Spirit,https://classic.wowhead.com/item=14160
14162,763,Pagan Mitts of the Owl,https://classic.wowhead.com/item=14162
9867,935,Renegade Cloak of the Gorilla,https://classic.wowhead.com/item=9867
15510,843,Grunt's Belt of the Eagle,https://classic.wowhead.com/item=15510
2075,1799,Priest's Mace of Arcane Wrath,https://classic.wowhead.com/item=2075
5426,,Serpent's Kiss,https://classic.wowhead.com/item=5426
15969,1951,Beaded Orb of Frozen Wrath,https://classic.wowhead.com/item=15969
1990,1033,Ballast Maul of the Whale,https://classic.wowhead.com/item=1990
7436,1806,Twilight Cape of Arcane Wrath,https://classic.wowhead.com/item=7436
9796,763,Ivycloth Mantle of the Owl,https://classic.wowhead.com/item=9796
15971,28,Aboriginal Rod of Spirit,https://classic.wowhead.com/item=15971
7534,771,Cabalist Bracers of the Owl,https://classic.wowhead.com/item=7534
6795,,White Swashbuckler's Shirt,https://classic.wowhead.com/item=6795
6337,924,Infantry Leggings of the Gorilla,https://classic.wowhead.com/item=6337
14252,1854,Lunar Coronet of Shadow Wrath,https://classic.wowhead.com/item=14252
14183,1884,Watcher's Leggings of Fiery Wrath,https://classic.wowhead.com/item=14183
7468,787,Regal Robe of the Owl,https://classic.wowhead.com/item=7468
4566,840,Sturdy Quarterstaff of the Eagle,https://classic.wowhead.com/item=4566
791,,Gnarled Ash Staff,https://classic.wowhead.com/item=791
8277,,Valorous Girdle,https://classic.wowhead.com/item=8277
14099,,Native Sash,https://classic.wowhead.com/item=14099
9036,,Magic Resistance Potion,https://classic.wowhead.com/item=9036
15499,1011,Outrunner's Cuffs of the Whale,https://classic.wowhead.com/item=15499
9895,520,Jazeraint Boots of the Wolf,https://classic.wowhead.com/item=9895
4568,1549,Grunt Axe of Power,https://classic.wowhead.com/item=4568
6426,,Blackforge Bracers,https://classic.wowhead.com/item=6426
11973,1503,Hematite Link of Nature Resistance,https://classic.wowhead.com/item=11973
9821,1880,Durable Bracers of Fiery Wrath,https://classic.wowhead.com/item=9821
15330,764,Wrangler's Boots of the Owl,https://classic.wowhead.com/item=15330
6410,,Insignia Bracers,https://classic.wowhead.com/item=6410
4567,1098,Merc Sword of the Boar,https://classic.wowhead.com/item=4567
2882,,Plans: Silvered Bronze Shoulders,https://classic.wowhead.com/item=2882
15523,1104,Spiked Chain Shoulder Pads of the Boar,https://classic.wowhead.com/item=15523
15110,759,Rigid Belt of the Owl,https://classic.wowhead.com/item=15110
12007,590,Prairie Ring of the Monkey,https://classic.wowhead.com/item=12007
7277,,Handstitched Leather Bracers,https://classic.wowhead.com/item=7277
3198,184,Battering Hammer of Stamina,https://classic.wowhead.com/item=3198
15011,1010,Lupine Cord of the Whale,https://classic.wowhead.com/item=15011
14166,28,Buccaneer's Bracers of Spirit,https://classic.wowhead.com/item=14166
9769,846,Greenweave Branch of the Eagle,https://classic.wowhead.com/item=9769
7455,307,Knight's Legguards of Strength,https://classic.wowhead.com/item=7455
16202,,Lesser Eternal Essence,https://classic.wowhead.com/item=16202
4536,,Shiny Red Apple,https://classic.wowhead.com/item=4536
9847,763,Conjurer's Cloak of the Owl,https://classic.wowhead.com/item=9847
9825,2038,Durable Pants of Healing,https://classic.wowhead.com/item=9825
9867,1019,Renegade Cloak of the Whale,https://classic.wowhead.com/item=9867
10035,,Tuxedo Pants,https://classic.wowhead.com/item=10035
14123,28,Ritual Cape of Spirit,https://classic.wowhead.com/item=14123
2504,,Worn Shortbow,https://classic.wowhead.com/item=2504
789,24,Stout Battlehammer of Strength,https://classic.wowhead.com/item=789
4722,,Insignia Cloak,https://classic.wowhead.com/item=4722
7485,606,Ranger Cord of the Monkey,https://classic.wowhead.com/item=7485
1514,,Rusty Warhammer,https://classic.wowhead.com/item=1514
15017,932,Lupine Leggings of the Gorilla,https://classic.wowhead.com/item=15017
1625,1122,Exquisite Flamberge of the Boar,https://classic.wowhead.com/item=1625
9775,589,Bandit Cinch of the Monkey,https://classic.wowhead.com/item=9775
9832,1807,Scaled Leather Gloves of Arcane Wrath,https://classic.wowhead.com/item=9832
10312,,Pattern: Red Mageweave Gloves,https://classic.wowhead.com/item=10312
14165,1023,Pagan Britches of the Whale,https://classic.wowhead.com/item=14165
14587,,Dokebi Mantle,https://classic.wowhead.com/item=14587
9814,847,Fortified Belt of the Eagle,https://classic.wowhead.com/item=9814
14176,249,Watcher's Boots of the Falcon,https://classic.wowhead.com/item=14176
4564,927,Spiked Club of the Gorilla,https://classic.wowhead.com/item=4564
6607,2037,Dervish Leggings of Healing,https://classic.wowhead.com/item=6607
14161,1877,Pagan Cape of Fiery Wrath,https://classic.wowhead.com/item=14161
14159,846,Pagan Shoes of the Eagle,https://classic.wowhead.com/item=14159
4713,,Silver-thread Cloak,https://classic.wowhead.com/item=4713
14190,1030,Raincaller Vest of the Whale,https://classic.wowhead.com/item=14190
6266,842,Disciple's Vest of the Eagle,https://classic.wowhead.com/item=6266
14448,,Highborne Bracelets,https://classic.wowhead.com/item=14448
6431,,Imperial Leather Boots,https://classic.wowhead.com/item=6431
5516,,Threshadon Fang,https://classic.wowhead.com/item=5516
15485,925,War Torn Pants of the Gorilla,https://classic.wowhead.com/item=15485
7353,1031,Elder's Padded Armor of the Whale,https://classic.wowhead.com/item=7353
10406,1198,Scaled Leather Headband of the Bear,https://classic.wowhead.com/item=10406
15491,925,Bloodspattered Gloves of the Gorilla,https://classic.wowhead.com/item=15491
6605,2034,Dervish Gloves of Healing,https://classic.wowhead.com/item=6605
6540,844,Willow Pants of the Eagle,https://classic.wowhead.com/item=6540
9766,1018,Greenweave Sash of the Whale,https://classic.wowhead.com/item=9766
9775,675,Bandit Cinch of the Tiger,https://classic.wowhead.com/item=9775
15540,946,Wicked Chain Helmet of the Gorilla,https://classic.wowhead.com/item=15540
9790,1651,Raider's Shield of Blocking,https://classic.wowhead.com/item=9790
15304,1015,Grizzly Jerkin of the Whale,https://classic.wowhead.com/item=15304
15494,1095,Bloodspattered Shield of the Boar,https://classic.wowhead.com/item=15494
9827,596,Scaled Leather Belt of the Monkey,https://classic.wowhead.com/item=9827
15232,114,Hacking Cleaver of Stamina,https://classic.wowhead.com/item=15232
13039,,Skull Splitting Crossbow,https://classic.wowhead.com/item=13039
3713,,Soothing Spices,https://classic.wowhead.com/item=3713
14574,,Bristlebark Britches,https://classic.wowhead.com/item=14574
14171,1019,Buccaneer's Pants of the Whale,https://classic.wowhead.com/item=14171
6548,842,Soldier's Girdle of the Eagle,https://classic.wowhead.com/item=6548
15527,1189,Sentry's Gloves of the Bear,https://classic.wowhead.com/item=15527
6574,928,Defender Bracers of the Gorilla,https://classic.wowhead.com/item=6574
2565,,Rod of Molten Fire,https://classic.wowhead.com/item=2565
15501,23,Outrunner's Cloak of Strength,https://classic.wowhead.com/item=15501
7460,147,Knight's Cloak of Defense,https://classic.wowhead.com/item=7460
14829,,Symbolic Legplates,https://classic.wowhead.com/item=14829
6558,841,Bard's Belt of the Eagle,https://classic.wowhead.com/item=6558
4575,846,Medicine Staff of the Eagle,https://classic.wowhead.com/item=4575
6548,1012,Soldier's Girdle of the Whale,https://classic.wowhead.com/item=6548
14123,1953,Ritual Cape of Frozen Wrath,https://classic.wowhead.com/item=14123
4036,,Silver-thread Cuffs,https://classic.wowhead.com/item=4036
9868,1195,Renegade Gauntlets of the Bear,https://classic.wowhead.com/item=9868
14193,775,Raincaller Pants of the Owl,https://classic.wowhead.com/item=14193
1722,,Thornstone Sledgehammer,https://classic.wowhead.com/item=1722
2734,,Green Hills of Stranglethorn - Page 10,https://classic.wowhead.com/item=2734
15159,612,Nocturnal Tunic of the Monkey,https://classic.wowhead.com/item=15159
2324,,Bleach,https://classic.wowhead.com/item=2324
15225,1187,Sequoia Hammer of the Bear,https://classic.wowhead.com/item=15225
3206,517,Cavalier Two-hander of the Wolf,https://classic.wowhead.com/item=3206
6578,680,Defender Leggings of the Tiger,https://classic.wowhead.com/item=6578
9844,866,Conjurer's Vest of the Eagle,https://classic.wowhead.com/item=9844
15535,1188,Wicked Chain Bracers of the Bear,https://classic.wowhead.com/item=15535
9821,1956,Durable Bracers of Frozen Wrath,https://classic.wowhead.com/item=9821
14762,,Enduring Boots,https://classic.wowhead.com/item=14762
6349,,Formula: Enchant 2H Weapon - Lesser Intellect,https://classic.wowhead.com/item=6349
3036,,Heavy Shortbow,https://classic.wowhead.com/item=3036
15331,844,Wrangler's Wristbands of the Eagle,https://classic.wowhead.com/item=15331
15215,681,Furious Falchion of the Tiger,https://classic.wowhead.com/item=15215
3185,2002,Acrobatic Staff of Nature's Wrath,https://classic.wowhead.com/item=3185
2516,,Light Shot,https://classic.wowhead.com/item=2516
15120,765,Robust Girdle of the Owl,https://classic.wowhead.com/item=15120
13467,,Icecap,https://classic.wowhead.com/item=13467
6583,95,Scouting Bracers of Spirit,https://classic.wowhead.com/item=6583
10318,,Pattern: Admiral's Hat,https://classic.wowhead.com/item=10318
4362,,Rough Boomstick,https://classic.wowhead.com/item=4362
4410,,Schematic: Shadow Goggles,https://classic.wowhead.com/item=4410
6586,593,Scouting Gloves of the Monkey,https://classic.wowhead.com/item=6586
4882,,Benedict's Key,https://classic.wowhead.com/item=4882
9801,508,Superior Belt of the Wolf,https://classic.wowhead.com/item=9801
9789,1018,Raider's Legguards of the Whale,https://classic.wowhead.com/item=9789
15230,672,Ridge Cleaver of the Tiger,https://classic.wowhead.com/item=15230
14423,,Silksand Shoulder Pads,https://classic.wowhead.com/item=14423
6268,18,Pioneer Tunic of Agility,https://classic.wowhead.com/item=6268
9797,602,Ivycloth Pants of the Monkey,https://classic.wowhead.com/item=9797
14171,765,Buccaneer's Pants of the Owl,https://classic.wowhead.com/item=14171
4575,154,Medicine Staff of Stamina,https://classic.wowhead.com/item=4575
2077,772,Magician Staff of the Owl,https://classic.wowhead.com/item=2077
6584,180,Scouting Tunic of Spirit,https://classic.wowhead.com/item=6584
9886,767,Huntsman's Bands of the Owl,https://classic.wowhead.com/item=9886
16203,,Greater Eternal Essence,https://classic.wowhead.com/item=16203
15504,96,Outrunner's Shield of Stamina,https://classic.wowhead.com/item=15504
9771,1018,Greenweave Gloves of the Whale,https://classic.wowhead.com/item=9771
12008,507,Savannah Ring of the Wolf,https://classic.wowhead.com/item=12008
4349,,Pattern: Phoenix Pants,https://classic.wowhead.com/item=4349
15497,845,Outrunner's Cord of the Eagle,https://classic.wowhead.com/item=15497
6578,1553,Defender Leggings of Power,https://classic.wowhead.com/item=6578
7443,604,Sentinel Gloves of the Monkey,https://classic.wowhead.com/item=7443
15330,763,Wrangler's Boots of the Owl,https://classic.wowhead.com/item=15330
14831,,Symbolic Crown,https://classic.wowhead.com/item=14831
14559,,Prospector's Sash,https://classic.wowhead.com/item=14559
14910,1195,Brutish Armguards of the Bear,https://classic.wowhead.com/item=14910
7111,,Nightsky Armor,https://classic.wowhead.com/item=7111
